price,lat,long,Bathroom,Bedroom,sqft,land
17000000,6.7651128,80.0115001,2,3,1500.0 sqft,12.0 perches
36000000,6.8472783,79.9266082,2,4,2500.0 sqft,12.93 perches
42500000,6.8472783,79.9266082,3,4,2750.0 sqft,10.28 perches
22500000,6.7957403,79.940848,2,3,1480.0 sqft,6.5 perches
29000000,6.790604,79.9242726,3,3,2012.0 sqft,10.0 perches
17500000,6.7999509,79.9231171,2,3,1413.0 sqft,10.0 perches
47500000,6.8472783,79.9266082,4,4,2316.0 sqft,8.5 perches
25000000,6.8386739,79.9083983,2,3,1300.0 sqft,10.0 perches
38000000,6.8313687,79.9089736,3,5,2600.0 sqft,12.0 perches
32500000,6.7999509,79.9231171,3,4,3200.0 sqft,7.0 perches
49000000,6.846589,79.8708024,3,4,2100.0 sqft,7.0 perches
50000000,6.8335379,79.8672498,3,4,2790.0 sqft,9.3 perches
46000000,6.8464397,79.9486254,3,4,3000.0 sqft,10.0 perches
49000000,6.9095041,79.8962176,2,3,2000.0 sqft,19.0 perches
24000000,6.7999509,79.9231171,2,3,1500.0 sqft,7.5 perches
85000000,6.8430139,79.9655312,4,4,4000.0 sqft,28.5 perches
27500000,6.8772464,79.9899292,2,4,3200.0 sqft,16.3 perches
36000000,6.7999509,79.9231171,3,4,2108.0 sqft,8.0 perches
22000000,6.850694,80.0324106,2,3,1558.0 sqft,8.5 perches
28000000,6.7999509,79.9231171,3,4,2700.0 sqft,10.0 perches
32500000,6.8472783,79.9266082,2,4,2500.0 sqft,6.0 perches
39000000,6.7999509,79.9231171,5,5,3300.0 sqft,11.5 perches
20000000,6.8197463,79.8682643,2,3,2800.0 sqft,4.2 perches
29000000,6.7999509,79.9231171,3,3,2000.0 sqft,7.0 perches
28500000,6.7999509,79.9231171,3,6,2500.0 sqft,14.5 perches
79500000,6.8430139,79.9655312,3,4,1800.0 sqft,60.0 perches
35000000,6.7999509,79.9231171,5,4,2900.0 sqft,6.6 perches
180000000,6.9388614,79.8542005,3,4,3200.0 sqft,10.0 perches
27000000,6.8430139,79.9655312,3,3,1700.0 sqft,15.0 perches
33500000,6.8772464,79.9899292,6,8,3500.0 sqft,15.0 perches
36500000,6.8772464,79.9899292,4,5,3500.0 sqft,7.0 perches
28500000,6.8437323,79.9682677,4,4,2200.0 sqft,6.0 perches
47000000,6.8512785,79.8659769,3,4,2000.0 sqft,7.0 perches
23800000,6.8772464,79.9899292,3,3,1500.0 sqft,7.0 perches
31000000,6.8430139,79.9655312,3,4,2200.0 sqft,7.2 perches
69000000,6.8804108,79.9596235,4,4,3800.0 sqft,11.0 perches
47000000,6.9040723,79.9546189,4,4,3500.0 sqft,10.0 perches
53000000,6.9040723,79.9546189,4,5,3200.0 sqft,8.5 perches
19500000,6.8430139,79.9655312,3,3,1750.0 sqft,10.0 perches
300000000,6.8699688,79.8882835,8,5,9000.0 sqft,31.0 perches
70000000,6.9021809,79.9195776,3,4,3500.0 sqft,10.25 perches
19500000,6.8412384,80.0034457,3,3,1750.0 sqft,10.0 perches
72000000,6.8763201,79.9353613,3,4,3500.0 sqft,10.25 perches
125000000,6.8699688,79.8882835,4,4,4000.0 sqft,7.5 perches
83500000,6.9021809,79.9195776,4,5,3450.0 sqft,11.3 perches
12000000,6.8412384,80.0034457,2,3,1280.0 sqft,9.5 perches
39500000,6.8412384,80.0034457,4,4,3580.0 sqft,10.5 perches
130000000,6.8412384,80.0034457,5,6,6000.0 sqft,80.0 perches
79500000,6.8772464,79.9899292,4,4,4917.0 sqft,10.0 perches
160000000,6.9021809,79.9195776,4,5,5000.0 sqft,29.5 perches
31000000,6.8013558,79.9350979,3,4,2874.0 sqft,7.0 perches
32500000,6.7999509,79.9231171,3,4,2863.0 sqft,7.0 perches
32000000,6.7999509,79.9231171,3,5,2986.0 sqft,8.0 perches
59500000,6.7999509,79.9231171,4,5,4184.0 sqft,10.0 perches
55000000,6.7999509,79.9231171,4,5,3145.0 sqft,10.0 perches
48000000,6.7999509,79.9231171,4,5,3452.0 sqft,15.0 perches
19000000,6.8828264,79.9334507,2,3,1837.0 sqft,6.0 perches
31000000,6.8155106,79.9716074,3,4,2500.0 sqft,7.3 perches
30000000,6.882616,79.9957149,2,3,1550.0 sqft,20.0 perches
28000000,6.8430139,79.9655312,3,4,2400.0 sqft,6.2 perches
19500000,6.7999509,79.9231171,1,3,1600.0 sqft,10.0 perches
38000000,6.8103766,79.9953639,4,4,3600.0 sqft,10.5 perches
30000000,6.8410598,79.9017028,2,4,2455.0 sqft,7.5 perches
55000000,6.9168909,79.9685515,3,3,1707.0 sqft,10.0 perches
9500000,6.7999509,79.9231171,1,3,1423.0 sqft,7.25 perches
31000000,6.8155106,79.9716074,3,4,2100.0 sqft,7.0 perches
32500000,6.8155106,79.9716074,3,4,2800.0 sqft,7.0 perches
39500000,6.8910365,79.9642922,3,4,2800.0 sqft,8.5 perches
39000000,6.7957403,79.940848,5,5,3300.0 sqft,11.5 perches
83500000,6.9021809,79.9195776,4,5,4500.0 sqft,11.8 perches
42500000,6.8044906,79.9990109,3,4,3000.0 sqft,7.5 perches
23800000,6.8772464,79.9899292,3,3,1300.0 sqft,7.0 perches
24000000,6.7661696,79.939697,2,3,1450.0 sqft,7.5 perches
38000000,6.9040723,79.9546189,3,4,3000.0 sqft,10.0 perches
37000000,6.8929616,79.9001844,2,3,2000.0 sqft,10.0 perches
160000000,6.8952109,79.8905528,4,5,5000.0 sqft,20.0 perches
47500000,6.790604,79.9242726,3,4,3250.0 sqft,10.2 perches
49500000,6.8313687,79.9089736,5,6,4500.0 sqft,10.0 perches
49500000,6.8313687,79.9089736,5,6,4620.0 sqft,10.0 perches
40000000,6.8054226,79.9213925,3,5,2800.0 sqft,12.0 perches
42000000,6.7999509,79.9231171,3,4,3200.0 sqft,8.0 perches
42000000,6.8410598,79.9017028,3,4,3320.0 sqft,8.0 perches
140000000,6.8699688,79.8882835,5,5,5000.0 sqft,7.5 perches
350000000,6.8699688,79.8882835,5,5,9000.0 sqft,31.0 perches
16000000,6.8415384,80.0916472,2,3,1500.0 sqft,22.0 perches
29000000,6.9386636,79.9612692,2,5,2500.0 sqft,20.0 perches
70000000,6.8699688,79.8882835,5,9,4000.0 sqft,14.0 perches
130000000,6.8537628,79.8694855,5,10,4500.0 sqft,17.5 perches
39500000,6.9118033,79.849572,2,3,2200.0 sqft,4.0 perches
50000000,6.8509628,79.8921559,3,5,2500.0 sqft,8.8 perches
146000000,6.898634,79.9202557,2,4,2200.0 sqft,28.0 perches
108000000,6.879383,79.8910127,4,6,4000.0 sqft,18.0 perches
48000000,6.8951908,79.9188329,3,4,2500.0 sqft,10.0 perches
480000000,6.9388614,79.8542005,10,10,15000.0 sqft,18.0 perches
83500000,6.8828264,79.9334507,4,4,4216.0 sqft,11.4 perches
48000000,6.7999509,79.9231171,5,5,3822.0 sqft,15.0 perches
22000000,6.8210349,80.0498181,3,4,2511.0 sqft,10.25 perches
55000000,6.766693,79.9306538,3,5,4412.0 sqft,21.5 perches
145000000,6.8699688,79.8882835,5,5,4211.0 sqft,15.0 perches
25000000,6.8763201,79.9353613,2,2,2500.0 sqft,10.0 perches
120000000,6.8699688,79.8882835,3,3,3000.0 sqft,25.75 perches
